VIN (1-10),City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Electric Utility,Longitude,Latitude
KNDJX3AE6G,Gig Harbor,WA,98335.0,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,-122.5835454,47.3234488
5YJSA1CP2D,Graham,WA,98338.0,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,-122.2953401,47.0763961
5YJRE1A39A,Edmonds,WA,98026.0,2010,TESLA,ROADSTER,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,245,110950,PUGET SOUND ENERGY INC,-122.335685,47.80372
5YJSA1S12E,Marysville,WA,98270.0,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,PUGET SOUND ENERGY INC,-122.17673,48.05542
5YJSA1CN5D,Monroe,WA,98272.0,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,PUGET SOUND ENERGY INC,-121.972215,47.85674
2C4RC1N78K,Bellingham,WA,98225.0,2019,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,39995,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,-122.486115,48.761615
WBAJA9C52J,Seattle,WA,98117.0,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,52650,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),-122.37275,47.68968
5YJSA1DG8D,West Richland,WA,99353.0,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,-119.3535873,46.2778489
WBAJB1C52J,Arlington,WA,98223.0,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,54950,BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,-122.12324,48.19485
2C4RC1H79K,Bothell,WA,98021.0,2019,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,39995,PUGET SOUND ENERGY INC,-122.179458,47.802589
KNDJX3AE3G,Lynnwood,WA,98036.0,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,PUGET SOUND ENERGY INC,-122.316675,47.819365
YV4BR0DM2J,Vancouver,WA,98664.0,2018,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,52900,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),-122.589388,45.6228731
5YJSA1H13E,South Hill,WA,98374.0,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.275748,47.1395924
5YJSA1DN1D,Mount Vernon,WA,98274.0,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,PUGET SOUND ENERGY INC,-122.322955,48.4152
5YJSA1H13E,Mount Vernon,WA,98273.0,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,PUGET SOUND ENERGY INC,-122.338975,48.41333
KNDJP3AE9G,Spokane,WA,99206.0,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,BONNEVILLE POWER ADMINISTRATION||VERA IRRIGATION DISTRICT #15,-117.24549,47.6534
5YJSA1H14E,Lynnwood,WA,98087.0,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,PUGET SOUND ENERGY INC,-122.2551991,47.8650827
YV4BR0DL1J,Seattle,WA,98103.0,2018,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,52900,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),-122.34301,47.659185
KNDJX3AE3H,Bellingham,WA,98229.0,2017,KIA,SOUL EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,32250,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,-122.4569227,48.7470973
WBAJA9C51K,Bainbridge Island,WA,98110.0,2019,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,53400,PUGET SOUND ENERGY INC,-122.5235781,47.6293323
5YJSA1H10E,Issaquah,WA,98027.0,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.03646,47.534065
WBAJB1C54J,Bainbridge Island,WA,98110.0,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,54950,PUGET SOUND ENERGY INC,-122.5235781,47.6293323
WMZYU7C57K,Kenmore,WA,98028.0,2019,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,12,36900,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.2504747,47.7617128
5YJSA1CP2D,Tacoma,WA,98407.0,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,-122.5113356,47.2923828
5YJSA1CN0D,Mount Vernon,WA,98273.0,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,PUGET SOUND ENERGY INC,-122.338975,48.41333
5YJSA1DP4C,Tacoma,WA,98407.0,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,265,59900,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,-122.5113356,47.2923828
5YJSA1H22E,Gig Harbor,WA,98335.0,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,-122.5835454,47.3234488
5YJSA1DN8C,Seattle,WA,98102.0,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,265,59900,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),-122.32226,47.64058
KNDJX3AE4G,Bellingham,WA,98225.0,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,-122.486115,48.761615
5YJSA1S10E,Bothell,WA,98021.0,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,PUGET SOUND ENERGY INC,-122.179458,47.802589
KNDJX3AE4J,Lake Stevens,WA,98258.0,2018,KIA,SOUL EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,111,33950,PUGET SOUND ENERGY INC,-122.112265,48.0047
KNDJX3AE8G,Buckley,WA,98321.0,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.029685,47.161465
2C4RC1N75K,Marysville,WA,98270.0,2019,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,39995,PUGET SOUND ENERGY INC,-122.17673,48.05542
KNDJX3AE0G,Tacoma,WA,98444.0,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PARKLAND LIGHT & WATER COMPANY|PENINSULA LIGHT COMPANY,-122.43827,47.153995
JF2GTDNC7K,East Wenatchee,WA,98802.0,2019,SUBARU,CROSSTREK,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,34995,PUD NO 1 OF DOUGLAS COUNTY,-120.28674,47.4176
WBAJB1C58K,Mercer Island,WA,98040.0,2019,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,15,55700,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.2377542,47.582905
5YJSA1H15E,Langley,WA,98260.0,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,PUGET SOUND ENERGY INC,-122.408015,48.03557
KNDJX3AE7J,Bellingham,WA,98229.0,2018,KIA,SOUL EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,111,33950,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,-122.4569227,48.7470973
5YJSA1DPXD,East Wenatchee,WA,98802.0,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,PUD NO 1 OF DOUGLAS COUNTY,-120.28674,47.4176
LYVBR0DM5K,Seattle,WA,98144.0,2019,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,52900,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),-122.30823,47.581975
5YJSA1S19E,Redmond,WA,98052.0,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.12302,47.67668
5YJSA1DN0D,Silverdale,WA,98383.0,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,PUGET SOUND ENERGY INC,-122.668076,47.665978
KNDJX3AE5G,Seattle,WA,98117.0,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),-122.37275,47.68968
YV4BR0DL0J,Manson,WA,98831.0,2018,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,52900,PUD NO 1 OF CHELAN COUNTY,-120.1531,47.885505
5YJSA1H18E,Seattle,WA,98115.0,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),-122.3185,47.67949
5YJSA1CNXD,Bellingham,WA,98225.0,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,-122.486115,48.761615
5YJSA1H20E,Clyde Hill,WA,98004.0,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.201905,47.61385
KNDJX3AE8G,Covington,WA,98042.0,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.111625,47.36078
WBAJB1C55J,Lynnwood,WA,98037.0,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,54950,PUGET SOUND ENERGY INC,-122.297265,47.84182
KNDJP3AEXG,Kenmore,WA,98028.0,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.2504747,47.7617128
LYVBR0DL8K,Richland,WA,99352.0,2019,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,52900,BONNEVILLE POWER ADMINISTRATION||CITY OF RICHLAND - (WA),-119.2952071,46.272495
WMZYU7C46J,Kennewick,WA,99338.0,2018,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,12,36800,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,-119.1973001,46.1911488
5YJSA1DP5D,Lynden,WA,98264.0,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,-122.4584536,48.9461196
